VariableCode,RegionCode,YearCode,AggValue
avh,ESP,1967,2034.76920985725000000
avh,ESP,1968,1997.01299854797000000
avh,ESP,1969,1988.76463586687000000
avh,ESP,1970,1996.72045686796000000
avh,ESP,1971,1996.83645689450000000
avh,ESP,1972,1992.69245594631000000
avh,ESP,1973,1980.85445323767000000
avh,ESP,1974,1987.02745465011000000
avh,ESP,1975,1996.85545689884000000
avh,ESP,1976,2006.96645921233000000
avh,ESP,1977,2000.77645779601000000
avh,ESP,1978,1973.55245156690000000
avh,ESP,1979,1929.85644156886000000
avh,ESP,1980,1918.12243888401000000
avh,ESP,1981,1884.02043108116000000
avh,ESP,1982,1862.92542625443000000
avh,ESP,1983,1830.75741889409000000
avh,ESP,1984,1786.69240881161000000
avh,ESP,1985,1776.70040652535000000
avh,ESP,1986,1768.66740468733000000
avh,ESP,1987,1760.64940285273000000
avh,ESP,1988,1756.57840192125000000
avh,ESP,1989,1744.56039917142000000
avh,ESP,1990,1746.52839962172000000
avh,ESP,1991,1755.52940168123000000
avh,ESP,1992,1747.56539985899000000
avh,ESP,1993,1739.55239802555000000
avh,ESP,1994,1738.50739778644000000
avh,ESP,1995,1738.79639785257000000
avh,ESP,1996,1740.33928927078000000
avh,ESP,1997,1742.63677191539000000
avh,ESP,1998,1751.10587060624000000
avh,ESP,1999,1756.27373368015000000
avh,ESP,2000,1752.82075838745000000
avh,ESP,2001,1762.06978335498000000
avh,ESP,2002,1763.64741830528000000
avh,ESP,2003,1754.63317012726000000
avh,ESP,2004,1739.90120009097000000
avh,ESP,2005,1723.71916932259000000
avh,ESP,2006,1713.74063366858000000
avh,ESP,2007,1701.30779766684000000
avh,ESP,2008,1710.12620246177000000
avh,ESP,2009,1715.80455861982000000
avh,ESP,2010,1705.77553458184000000
avh,ESP,2011,1710.69165947777000000
avh,ESP,2012,1696.72661811367000000
avh,ESP,2013,1689.82440964343000000
avh,ESP,2014,1690.56399650873000000
avh,ESP,2015,1694.23718822333000000
avh,ESP,2016,1701.45006195262000000
avh,ESP,2017,1689.47621970404000000
avh,ESP,2018,1695.50101681915000000
avh,ESP,2019,1685.95150557715000000
rgdpna,ESP,1950,144666.18750000000000000
rgdpna,ESP,1951,169012.35937500000000000
rgdpna,ESP,1952,177136.67187500000000000
rgdpna,ESP,1953,170952.39062500000000000
rgdpna,ESP,1954,194559.67187500000000000
rgdpna,ESP,1955,206296.92187500000000000
rgdpna,ESP,1956,222248.43750000000000000
rgdpna,ESP,1957,232038.50000000000000000
rgdpna,ESP,1958,242163.23437500000000000
rgdpna,ESP,1959,235581.31250000000000000
rgdpna,ESP,1960,263005.71875000000000000
rgdpna,ESP,1961,296804.93750000000000000
rgdpna,ESP,1962,328570.71875000000000000
rgdpna,ESP,1963,361557.31250000000000000
rgdpna,ESP,1964,381048.15625000000000000
rgdpna,ESP,1965,408400.06250000000000000
rgdpna,ESP,1966,440241.59375000000000000
rgdpna,ESP,1967,458083.06250000000000000
rgdpna,ESP,1968,486698.21875000000000000
